t,Bowker,Stuart,QS,mut_sum
0.1434919368467925,32.035237086552584,3.3039157635554655,-4.776718484373499,1283.0
0.3695551001127899,48.155523806867066,0.1934094633261172,-6.503972024083939,2759.0
0.5722233352836659,57.25877848095945,0.7507412687926218,-7.278236757843086,3830.0
0.9038160602176755,30.553864802566533,9.182978736537127,-4.484187215068318,4829.0
0.08198465142508327,17.794049436588743,2.8382307240475697,-3.5725944320658116,764.0
0.47382461492437344,35.455587739487044,2.2939511082893214,-5.460806627429249,3277.0
0.508003225350643,51.25509269526401,1.1360990300589027,-6.76774681245354,3431.0
0.5723126556213904,44.797869984120766,6.425914263475859,-6.067685848536008,3750.0
0.8307616212084823,54.288428325292685,2.3767717624665967,-7.007989830111444,4679.0
0.032809288708196105,21.929571751451927,0.2852120343078681,-3.085539115931896,331.0
0.552402537825649,20.94993566815873,1.1529072039590322,-4.115505584004102,3724.0
0.6261791973868263,38.26968618280087,0.8203404983770746,-5.755713214989837,3966.0
0.8709558418864553,27.938482104943056,3.138711308024137,-4.907586042851248,4861.0
0.8021155076532708,38.66968117570565,3.488769222088922,-5.593536822626127,4633.0
0.6505762652804868,58.62773531177774,2.9720770761676847,-7.084256148597526,4079.0
0.36238495439158824,66.3855533040207,12.747525492255026,-6.893148270824933,2784.0
0.22426182233973846,21.870562264977508,4.9477964871406535,-3.4853225009615363,1912.0
0.8945901144033649,36.33128296100494,1.8138894637089888,-5.668049583866537,4792.0
0.339051702552188,37.85730978510887,3.9281673111006192,-5.492057918800232,2583.0
0.7948345592873062,26.12749719044904,4.55685135732307,-4.251390879597914,4573.0
0.6162844039587819,26.017823196179513,3.4353264243906807,-4.247590113658593,3874.0
0.8448978146796026,20.44117817041223,1.1894448806641638,-4.331156292342053,4648.0
0.30459685903414324,32.82717934309525,0.3455398493933776,-5.4078009470102275,2379.0
0.06149824288983208,21.8242690459849,0.16904014037098453,-3.6950025691038824,589.0
0.08263233204291065,21.981030203223177,0.46485071799915967,-4.159941032238361,790.0
0.7499588046396589,46.32401654686801,2.4078856076924353,-6.1240088934928805,4430.0
0.4864205262488096,42.60707843929393,1.4415200898314053,-6.111259269253267,3349.0
0.3651608915072575,38.74596616822909,3.0304201609339745,-5.731805055050664,2792.0
0.44117953251016384,49.970878278250225,8.923784731786347,-6.056185575071754,3146.0
0.9240530150368663,32.65429263681828,1.3914779221740792,-5.309709927179723,4965.0
0.06663133882586048,22.081500251065112,4.179377243744513,-3.529827461012601,624.0
0.11753473844018858,22.355881232615758,0.38316539381989534,-4.258731826738343,1095.0
0.9229471986475011,27.736841760707453,2.6794181726914266,-4.639755398678606,4924.0
0.5078724951185213,45.29228776138636,0.2725936902174685,-6.389908809774457,3471.0
