t,Bowker,Stuart,QS,mut_sum
0.1434919368467925,226.63389961103573,223.455534570286,-0.24464339172368074,1299.0
0.3695551001127899,579.0245135011487,574.6002414061188,-0.2602681586309713,2954.0
0.5722233352836659,708.481996857777,706.4339111510525,-0.17042810023913918,3949.0
0.9038160602176755,923.7215143223292,922.2149245161255,1.619013510393044,5129.0
0.08198465142508327,193.61907273318414,192.50163365957124,-0.3948449099248713,792.0
0.47382461492437344,665.5974800911667,662.4605253992848,0.784074185004586,3497.0
0.508003225350643,698.8838405637044,698.0184619983935,0.9726765133370111,3624.0
0.5723126556213904,791.9138737889209,789.0577030440166,0.8785129357851216,3983.0
0.8307616212084823,964.987007892306,959.5026593286872,-1.00428823865474,4956.0
0.032809288708196105,57.52043774690964,57.114384153037534,-0.27745496679635473,326.0
0.552402537825649,760.7578085730929,759.0081628043649,0.057707687382613095,3887.0
0.6261791973868263,811.4257408523908,806.3924329311326,-0.07424340932642198,4259.0
0.8709558418864553,989.3952020348909,988.8663597281059,1.163865403709128,5152.0
0.8021155076532708,887.6083178166012,883.5456590069457,-0.8616737412686044,4859.0
0.6505762652804868,820.0010639486217,812.0022923303097,0.1849811146590235,4339.0
0.36238495439158824,573.4242278650197,567.0860504359667,0.9017392301781837,2924.0
0.22426182233973846,317.26086197424763,314.09250951410286,1.2578981956620727,1960.0
0.8945901144033649,1011.9808178629801,998.4307080320664,-3.047363035809882,5050.0
0.339051702552188,551.5020249919892,546.7499878754005,-0.6585386262859438,2730.0
0.7948345592873062,970.9766328662273,967.490700665684,0.7089201945546508,4902.0
0.6162844039587819,807.4453439192744,806.8061775273018,0.47249293553649085,4134.0
0.8448978146796026,952.572522812876,950.8182534253946,0.41318215100848643,4976.0
0.30459685903414324,462.7323997010849,461.8924883341705,-0.359763613754632,2454.0
0.06149824288983208,120.02921679568833,118.6936631030608,-0.19603042074424543,581.0
0.08263233204291065,161.03199300105652,158.25075618314452,0.1401950562939279,794.0
0.7499588046396589,892.4077201900683,890.7449620203498,0.7516670678580448,4691.0
0.4864205262488096,688.2759971997968,684.0199779025013,0.48923440385977573,3554.0
0.3651608915072575,512.794929265132,509.9448120935618,0.8932243285114051,2877.0
0.44117953251016384,678.264236313016,677.5801037938962,-0.21525348326325436,3256.0
0.9240530150368663,969.6234505726768,969.6113755528496,0.47576494337816366,5189.0
0.06663133882586048,130.81010647401442,130.03299507936117,-0.18196483099755661,644.0
0.11753473844018858,186.39913173277282,184.1778296201483,1.0583172872087514,1106.0
0.9229471986475011,1033.98830349079,1031.1251546171886,-0.15520848726738254,5230.0
0.5078724951185213,652.3179381375138,649.0899375349195,0.4505134566880057,3619.0
0.04131654608284763,83.63210478926946,82.17042887884517,1.300332878684489,390.0
0.6799455723789631,866.7092750149977,861.9328013466653,-0.5006086926994688,4358.0
0.5766356823075982,796.8951754913664,793.4502871905821,-0.2586856870325279,3987.0
0.8853177201745801,967.1641039075283,963.2643769544138,-1.081207693267959,5100.0
0.36752396762208295,540.6629872584036,538.892785384092,1.0683905885743292,2919.0
0.905240094563121,946.334996115477,944.6546784713587,0.856626129375331,5146.0
0.47004285309627436,701.4514561246114,699.5841883835201,0.15574223978763654,3399.0
